name,label,label_en,district_code,province_code
YE180521,ربع القحم,Rub' Al Qahm,YE1805,YE18
YE182121,الحوك,Al Hawak,YE1821,YE18
YE180421,الصليف,As Salif,YE1804,YE18
YE182221,الحديده,Al Hodeidah,YE1822,YE18
YE181021,باجل,Bajil,YE1810,YE18
YE181022,الجمادي,Al Jumadi,YE1810,YE18
YE181023,الخلفيه,Al Khalfiyah,YE1810,YE18
YE181024,الضامر,Ad Damir,YE1810,YE18
YE181025,الحضاريه,Al Hadariyah,YE1810,YE18
YE180921,الجرابح السفلى,Al Jarabih As Sufla,YE1809,YE18
YE180922,الجرابح العليا,Al Jarabih Al Olya,YE1809,YE18
YE181921,حيس,Hays,YE1819,YE18
YE181922,ربع السوق,Rub' As Suq,YE1819,YE18
YE181923,ربع الحضرمي,Rub' Al Hadrami,YE1819,YE18
YE181924,ربع المحل,Rub' Al Mahal,YE1819,YE18
YE180621,كشارب,Kasharib,YE1806,YE18
YE180623,القوزى,Al Quzi,YE1806,YE18
YE180624,المهادله,Al Mahadilah,YE1806,YE18
YE180625,المقاعشه,Al Maqa'ishah,YE1806,YE18
YE181221,بلاد الشرق,Bilad Ash Sharq,YE1812,YE18
YE181222,الخزاعي,Al Khuza'i,YE1812,YE18
YE181223,الموسطة الشرقيه,Al Mawsatah Ash Sharqiyah,YE1812,YE18
YE181224,الموسطة الغربيه,Al Mawsatah Al Gharbiyah,YE1812,YE18
YE181227,بلاد الطرف,Bilad At Taraf,YE1812,YE18
YE200222,سفل جهران,Safl Jahran,YE2002,YE20
YE200223,المدراج,Al Midraj,YE2002,YE20
YE200224,علو جهران,Elu Jahran,YE2002,YE20
YE200521,بني سويد,Bani Suwayd,YE2005,YE20
YE200522,على الشرقى,Ala Ash Sharqi,YE2005,YE20
YE200523,السفل,As Safl,YE2005,YE20
YE200524,هجاره,Hajarah,YE2005,YE20
YE200525,بني غصين,Bani Ghusayn,YE2005,YE20
YE200526,رصب,Rassab,YE2005,YE20
YE200527,المطبابه,Al Mitbabah,YE2005,YE20
YE200528,الربيعه,Ar Rabi'ah,YE2005,YE20
YE200529,بني مرتد,Bani Murtad,YE2005,YE20
YE200530,الصفاء,As Safa'a,YE2005,YE20
YE200531,على الغربى,Ali Al Gharbi,YE2005,YE20
YE200532,الشعوب,Ash Shu'ub,YE2005,YE20
YE200533,القعد,Al Qu'd,YE2005,YE20
YE200534,الناصفه,An Nasifah,YE2005,YE20
YE200535,الهادله,Al Hadilah,YE2005,YE20
YE200536,المقرانه,Al Miqranah,YE2005,YE20
YE200537,النوبتين,An Nubatayn,YE2005,YE20
YE200538,القحصه,Al Qahsah,YE2005,YE20
YE200539,عمر,Omar,YE2005,YE20
YE200540,التام,At Tam,YE2005,YE20
YE200541,حويز,Huwayz,YE2005,YE20
YE200542,الحوادث,Al Hawadith,YE2005,YE20
YE200543,الشقر وظلمان,Ash Shuqr wa Dhulman,YE2005,YE20
YE200544,العقدالعالى,Al Aqd Al Aali,YE2005,YE20
YE200545,العقدالسافل,Al Aqd As Safil,YE2005,YE20
YE200546,تهيجر,Tahijir,YE2005,YE20
YE200547,السلف,As Salaf,YE2005,YE20
YE200548,المقنزعه,Al Muqanza'ah,YE2005,YE20
YE200549,حمير ابزار,Himyar Abzaz,YE2005,YE20
YE200551,لكمة بني الجيشي,Lakamat Bani Al Jayshi,YE2005,YE20
YE200552,يفاعه,Yafa'ah,YE2005,YE20
YE200554,بني البحري,Bani Al Bahri,YE2005,YE20
YE200555,جوفه,Jawfah,YE2005,YE20
YE200556,الذراع,Adh Dhira',YE2005,YE20
YE200557,بني العراص,Bani Al Arass,YE2005,YE20
YE200558,بني حسين,Bani Husayn,YE2005,YE20
YE200559,الشرم السافل,Ash Sharm As Safil,YE2005,YE20
YE200560,بني رفيع,Bani Rafi',YE2005,YE20
YE200561,الشرم العالي,Ash Sharm Al Aali,YE2005,YE20
YE200562,ربيعة بني بحر,Rabi'at Bani Bahr,YE2005,YE20
YE200563,حلمةوبني ايوب,Halmah wa Bani Ayub,YE2005,YE20
YE200564,القبل,Al Qabl,YE2005,YE20
YE200565,بني بعيث,Bani Bu'ayth,YE2005,YE20
YE200566,بني عبدالصمد,Bani Abdulsamad,YE2005,YE20
YE200567,بروه,Barwah,YE2005,YE20
